Strategy Tester Report
Symbol;EURUSD;Period;H1;Model;Every tick

Ticket,Open Time,Type,Volume,Symbol,Price,S/L,T/P,Close Time,Profit
1000001,2025.01.06 05:00:00,buy,0.50,EURUSD,1.05980,1.05480,1.06780,2025.01.06 10:00:00,6.29
1000002,2025.01.06 11:00:00,buy,0.10,EURUSD,1.05375,1.04875,1.06175,2025.01.06 17:00:00,-9.73
1000003,2025.01.06 23:00:00,sell,0.20,EURUSD,1.06797,1.07297,1.05997,2025.01.07 02:00:00,-4.99
1000004,2025.01.07 02:00:00,buy,0.50,EURUSD,1.05409,1.04909,1.06209,2025.01.07 05:00:00,15.31
1000005,2025.01.07 05:00:00,buy,1.00,EURUSD,1.07145,1.06645,1.07945,2025.01.07 10:00:00,67.34
1000006,2025.01.07 15:00:00,buy,0.10,EURUSD,1.05183,1.04683,1.05983,2025.01.07 16:00:00,7.11
1000007,2025.01.07 17:00:00,buy,1.00,EURUSD,1.06112,1.05612,1.06912,2025.01.07 20:00:00,21.45
1000008,2025.01.07 17:00:00,buy,0.20,EURUSD,1.05654,1.05154,1.06454,2025.01.07 22:00:00,-9.21
1000009,2025.01.07 21:00:00,sell,0.10,EURUSD,1.05916,1.06416,1.05116,2025.01.08 02:00:00,5.27
1000010,2025.01.08 05:00:00,buy,1.00,EURUSD,1.06583,1.06083,1.07383,2025.01.08 08:00:00,28.95
1000011,2025.01.08 07:00:00,buy,0.50,EURUSD,1.07988,1.07488,1.08788,2025.01.08 11:00:00,-34.43
1000012,2025.01.08 09:00:00,buy,0.10,EURUSD,1.05611,1.05111,1.06411,2025.01.08 13:00:00,-15.01
1000013,2025.01.08 15:00:00,sell,0.50,EURUSD,1.08884,1.09384,1.08084,2025.01.08 20:00:00,9.84
1000014,2025.01.08 19:00:00,sell,0.10,EURUSD,1.06174,1.06674,1.05374,2025.01.09 01:00:00,10.21
1000015,2025.01.09 01:00:00,buy,0.10,EURUSD,1.08482,1.07982,1.09282,2025.01.09 06:00:00,-7.60
1000016,2025.01.09 12:00:00,buy,0.50,EURUSD,1.06954,1.06454,1.07754,2025.01.09 15:00:00,11.37
1000017,2025.01.09 14:00:00,buy,0.20,EURUSD,1.08512,1.08012,1.09312,2025.01.09 19:00:00,7.64
1000018,2025.01.09 20:00:00,buy,1.00,EURUSD,1.08787,1.08287,1.09587,2025.01.09 22:00:00,-6.56
1000019,2025.01.10 05:00:00,buy,0.50,EURUSD,1.06596,1.06096,1.07396,2025.01.10 07:00:00,20.49
1000020,2025.01.10 05:00:00,buy,0.50,EURUSD,1.05084,1.04584,1.05884,2025.01.10 11:00:00,-11.49
1000021,2025.01.10 10:00:00,buy,0.10,EURUSD,1.08622,1.08122,1.09422,2025.01.10 12:00:00,5.39
1000022,2025.01.10 20:00:00,buy,1.00,EURUSD,1.05972,1.05472,1.06772,2025.01.10 21:00:00,56.90
1000023,2025.01.10 19:00:00,sell,0.50,EURUSD,1.06694,1.07194,1.05894,2025.01.10 23:00:00,-21.51
1000024,2025.01.13 06:00:00,buy,0.20,EURUSD,1.07145,1.06645,1.07945,2025.01.13 10:00:00,22.86
1000025,2025.01.13 13:00:00,buy,1.00,EURUSD,1.08232,1.07732,1.09032,2025.01.13 14:00:00,30.18
1000026,2025.01.13 14:00:00,buy,0.20,EURUSD,1.06626,1.06126,1.07426,2025.01.13 16:00:00,-15.06
1000027,2025.01.13 18:00:00,buy,1.00,EURUSD,1.06061,1.05561,1.06861,2025.01.13 23:00:00,-107.44
1000028,2025.01.14 02:00:00,buy,0.20,EURUSD,1.06187,1.05687,1.06987,2025.01.14 07:00:00,13.18
1000029,2025.01.14 06:00:00,sell,0.10,EURUSD,1.05201,1.05701,1.04401,2025.01.14 08:00:00,-6.20
1000030,2025.01.14 09:00:00,buy,0.20,EURUSD,1.06615,1.06115,1.07415,2025.01.14 10:00:00,-5.72
1000031,2025.01.14 09:00:00,sell,0.50,EURUSD,1.08739,1.09239,1.07939,2025.01.14 12:00:00,-6.89
1000032,2025.01.14 15:00:00,sell,0.10,EURUSD,1.05037,1.05537,1.04237,2025.01.14 20:00:00,-6.46
1000033,2025.01.14 18:00:00,sell,0.20,EURUSD,1.08733,1.09233,1.07933,2025.01.15 00:00:00,-9.36
1000034,2025.01.15 04:00:00,buy,0.50,EURUSD,1.08727,1.08227,1.09527,2025.01.15 05:00:00,-10.73
1000035,2025.01.15 09:00:00,buy,0.50,EURUSD,1.06127,1.05627,1.06927,2025.01.15 14:00:00,18.11
1000036,2025.01.15 21:00:00,sell,0.10,EURUSD,1.05369,1.05869,1.04569,2025.01.15 22:00:00,11.33
1000037,2025.01.15 22:00:00,buy,0.50,EURUSD,1.05646,1.05146,1.06446,2025.01.16 04:00:00,-16.35
1000038,2025.01.16 04:00:00,buy,0.50,EURUSD,1.07330,1.06830,1.08130,2025.01.16 07:00:00,8.18
1000039,2025.01.16 09:00:00,buy,0.50,EURUSD,1.05840,1.05340,1.06640,2025.01.16 13:00:00,11.83
1000040,2025.01.16 10:00:00,buy,0.20,EURUSD,1.08905,1.08405,1.09705,2025.01.16 16:00:00,-13.78
1000041,2025.01.16 20:00:00,sell,0.20,EURUSD,1.06067,1.06567,1.05267,2025.01.16 22:00:00,14.61
